name,capital,currency
Sint Maarten (Dutch part),Philipsburg,ANG
Slovakia,Bratislava,EUR
Slovenia,Ljubljana,EUR
Solomon Islands,Honiara,SBD
Somalia,Mogadishu,SOS
South Africa,Pretoria,ZAR
South Georgia,Grytviken,GBP
South Korea,Seoul,KRW
South Sudan,Juba,SSP
Spain,Madrid,EUR
Sri Lanka,Colombo,LKR
Sudan,Khartoum,SDG
Suriname,Paramaribo,SRD
Svalbard and Jan Mayen Islands,Longyearbyen,NOK
Sweden,Stockholm,SEK
Switzerland,Bern,CHF
Syria,Damascus,SYP
Taiwan,Taipei,TWD
Tajikistan,Dushanbe,TJS
Tanzania,Dodoma,TZS
Thailand,Bangkok,THB
The Bahamas,Nassau,BSD
The Gambia,Banjul,GMD
Timor-Leste,Dili,USD
Togo,Lome,XOF
Tokelau,,NZD
Tonga,Nuku'alofa,TOP
Trinidad and Tobago,Port of Spain,TTD
Tunisia,Tunis,TND
Turkey,Ankara,TRY
Turkmenistan,Ashgabat,TMT
Turks and Caicos Islands,Cockburn Town,USD
Tuvalu,Funafuti,AUD
Uganda,Kampala,UGX
Ukraine,Kyiv,UAH
United Arab Emirates,Abu Dhabi,AED
United Kingdom,London,GBP
United States,Washington,USD
United States Minor Outlying Islands,,USD
Uruguay,Montevideo,UYU
Uzbekistan,Tashkent,UZS
Vanuatu,Port Vila,VUV
Vatican City State (Holy See),Vatican City,EUR
Venezuela,Caracas,VES
Vietnam,Hanoi,VND
Virgin Islands (British),Road Town,USD
Virgin Islands (US),Charlotte Amalie,USD
Wallis and Futuna Islands,Mata Utu,XPF
Western Sahara,El-Aaiun,MAD
Yemen,Sanaa,YER
Zambia,Lusaka,ZMW
Zimbabwe,Harare,ZWL
